ma_nganh,ten_nganh,nam,diem,khoa
7510205V,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt),2022,25.35,KHOA CƠ KHÍ ĐỘNG LỰC
7510205V,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt),2023,26.65,KHOA CƠ KHÍ ĐỘNG LỰC
7510205V,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt),2024,25.39,KHOA CƠ KHÍ ĐỘNG LỰC
7510205A,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Anh),2022,23.25,KHOA CƠ KHÍ ĐỘNG LỰC
7510205A,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Anh),2023,24.38,KHOA CƠ KHÍ ĐỘNG LỰC
7510205A,Công nghệ kỹ thuật ô tô (CTĐT Tiếng Anh),2024,24.75,KHOA CƠ KHÍ ĐỘNG LỰC
7510205N,Công nghệ kỹ thuật ô tô (CTĐT Việt - Nhật),2024,25.0,KHOA CƠ KHÍ ĐỘNG LỰC
7510206V,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Việt),2022,18.7,KHOA CƠ KHÍ ĐỘNG LỰC
7510206V,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Việt),2023,23.33,KHOA CƠ KHÍ ĐỘNG LỰC
7510206V,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Việt),2024,24.4,KHOA CƠ KHÍ ĐỘNG LỰC
7510206A,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh),2022,17.0,KHOA CƠ KHÍ ĐỘNG LỰC
7510206A,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh),2023,23.75,KHOA CƠ KHÍ ĐỘNG LỰC
7510206A,Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh),2024,21.0,KHOA CƠ KHÍ ĐỘNG LỰC
7510206N,Công nghệ kỹ thuật nhiệt (CTĐT Việt - Nhật),2024,24.4,KHOA CƠ KHÍ ĐỘNG LỰC
7510208V,Năng lượng tái tạo (CTĐT Tiếng Việt),2022,21.0,KHOA CƠ KHÍ ĐỘNG LỰC
7510208V,Năng lượng tái tạo (CTĐT Tiếng Việt),2023,22.4,KHOA CƠ KHÍ ĐỘNG LỰC
7510208V,Năng lượng tái tạo (CTĐT Tiếng Việt),2024,23.15,KHOA CƠ KHÍ ĐỘNG LỰC
7510209V,Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt),2022,26.0,KHOA CƠ KHÍ CHẾ TẠO MÁY
7510209V,Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt),2023,26.0,KHOA CƠ KHÍ CHẾ TẠO MÁY
7510209V,Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt),2024,25.66,KHOA CƠ KHÍ CHẾ TẠO MÁY
7510202V,Công nghệ chế tạo máy (CTĐT Tiếng Việt),2022,23.0,KHOA CƠ KHÍ CHẾ TẠO MÁY
